country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Belgium,http://www.wikidata.org/entity/Q83407,Mons,95299.0,http://www.wikidata.org/entity/Q17350765,Nicolas Martin,male,1976-10-08,44.0,2018-12-03,2,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q83407,Mons,3.951958,50.4549568,3.951958,50.4549568,0.0
Belgium,http://www.wikidata.org/entity/Q13122,Dendermonde,45673.0,http://www.wikidata.org/entity/Q1831725,Piet Buyse,male,1958-10-18,62.0,2007-01-01,13,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q13122,Dendermonde,4.1,51.016666666,4.1,51.016666666,0.0
Belgium,http://www.wikidata.org/entity/Q173219,Tournai,69554.0,http://www.wikidata.org/entity/Q3370366,Paul-Olivier Delannois,male,1966-07-01,54.0,2018-12-01,2,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q173219,Tournai,3.383333333,50.6,3.383333333,50.6,0.0
Belgium,http://www.wikidata.org/entity/Q12892,Antwerp,529247.0,http://www.wikidata.org/entity/Q336599,Bart De Wever,male,1970-12-21,50.0,2013-01-01,7,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q688781,Mortsel,4.399722222,51.221111111,4.456666666,51.170277777,6915.717511734632
Belgium,http://www.wikidata.org/entity/Q13121,Aalst,85715.0,http://www.wikidata.org/entity/Q2305667,Christoph D'Haese,male,1967-02-25,53.0,2013-01-01,7,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q13121,Aalst,4.033333333,50.933333333,4.033333333,50.933333333,0.0
Belgium,http://www.wikidata.org/entity/Q724638,Hoogstraten,21333.0,http://www.wikidata.org/entity/Q98456618,Marc Van Aperen,male,,,2019-01-01,1,,,,,4.761111111,51.400833333,,,
Belgium,http://www.wikidata.org/entity/Q211572,La Louvière,80986.0,http://www.wikidata.org/entity/Q29871193,Jacques Gobert,male,1961-05-13,59.0,2006-01-01,14,,,,,4.188055555,50.477777777,,,
Belgium,http://www.wikidata.org/entity/Q688781,Mortsel,25824.0,http://www.wikidata.org/entity/Q26132841,Erik Broeckx,male,,,2013-01-01,7,,,,,4.456666666,51.170277777,,,
Belgium,http://www.wikidata.org/entity/Q3992,Liège,197885.0,http://www.wikidata.org/entity/Q2355048,Willy Demeyer,male,1959-03-17,61.0,1999-09-15,21,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q3992,Liège,5.590731388,50.624993055,5.590731388,50.624993055,0.0
Belgium,http://www.wikidata.org/entity/Q12994,Bruges,118053.0,http://www.wikidata.org/entity/Q2186628,Renaat Landuyt,male,1959-01-28,61.0,2013-01-01,7,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q102728,Ypres,3.224166666,51.208888888,2.883333333,50.85,46538.014326279306
Belgium,http://www.wikidata.org/entity/Q81046,Charleroi,201816.0,http://www.wikidata.org/entity/Q1341556,Paul Magnette,male,1971-06-28,49.0,2012-12-03,8,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q118958,Leuven,4.444166666,50.416666666,4.704444,50.8775,54468.90943608249
Belgium,http://www.wikidata.org/entity/Q181314,Wavre,34305.0,http://www.wikidata.org/entity/Q67172379,Françoise Pigeolet,female,,,2014-01-01,6,,,,,4.6,50.716666666,,,
Belgium,http://www.wikidata.org/entity/Q12887,Schaerbeek,132799.0,http://www.wikidata.org/entity/Q822355,Bernard Clerfayt,male,1961-12-30,59.0,2001-01-01,19,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q203312,Uccle,4.373611111,50.8675,4.333888888,50.803611111,7638.345264574324
Belgium,http://www.wikidata.org/entity/Q12886,Anderlecht,117412.0,http://www.wikidata.org/entity/Q98000375,Fabrice Cumps,male,,,2020-01-01,0,,,,,4.329722222,50.839166666,,,
Belgium,http://www.wikidata.org/entity/Q12460,Lier,35712.0,http://www.wikidata.org/entity/Q1973059,Frank Boogaerts,male,1944-11-16,76.0,2013-01-01,7,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q12460,Lier,4.569722222,51.131111111,4.569722222,51.131111111,0.0
Belgium,http://www.wikidata.org/entity/Q464454,Geel,39923.0,http://www.wikidata.org/entity/Q1965796,Vera Celis,female,1959-08-06,61.0,2013-01-01,7,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q271783,Turnhout,4.990277777,51.161111111,4.933333333,51.316666666,17757.041140797683
Portugal,http://www.wikidata.org/entity/Q597,Lisbon,506654.0,http://www.wikidata.org/entity/Q20017756,Fernando Medina,male,1973-03-10,47.0,2015-04-06,5,http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q36433,Porto,-9.1604,38.7452,-8.610777777,41.149472222,271053.94692998735
Portugal,http://www.wikidata.org/entity/Q159457,Faro,64560.0,http://www.wikidata.org/entity/Q16145938,Rogério Bacalhau,male,,,2013-01-01,7,,,,,-7.933333333,37.016666666,,,
Germany,http://www.wikidata.org/entity/Q3857,Wilhelmshaven,76097.0,http://www.wikidata.org/entity/Q501136,Andreas Wagner,male,1968-04-21,52.0,2011-11-01,9,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1726,Munich,8.133333333,53.516666666,11.5755,48.137194444,645522.693918229
Germany,http://www.wikidata.org/entity/Q2795,Chemnitz,245403.0,http://www.wikidata.org/entity/Q807542,Barbara Ludwig,female,1962-02-08,58.0,2006-01-01,14,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2795,Chemnitz,12.916666666,50.833333333,12.916666666,50.833333333,0.0
Germany,http://www.wikidata.org/entity/Q1209,Free Hanseatic City of Bremen,661000.0,http://www.wikidata.org/entity/Q1045675,Carsten Sieling,male,1959-01-13,61.0,2015-01-01,5,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q16079,Nienburg/Weser,8.5913,53.347266666,9.206944444,52.641111111,88793.89790582609
Germany,http://www.wikidata.org/entity/Q3852,Worms,83330.0,http://www.wikidata.org/entity/Q362924,Adolf Kessel,male,1957-11-30,63.0,2019-01-01,1,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2593936,Rheindürkheim,8.365277777,49.631944444,8.35778,49.6983,7400.060544992412
Germany,http://www.wikidata.org/entity/Q16083,Deggendorf,33585.0,http://www.wikidata.org/entity/Q1081159,Christian Moser,male,1977-07-18,43.0,2012-08-01,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q16083,Deggendorf,12.964444444,48.835277777,12.964444444,48.835277777,0.0
Germany,http://www.wikidata.org/entity/Q1726,Munich,1471508.0,http://www.wikidata.org/entity/Q1083811,Christine Strobl,female,1961-03-02,59.0,2014-05-21,6,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1726,Munich,11.5755,48.137194444,11.5755,48.137194444,0.0
Germany,http://www.wikidata.org/entity/Q24879,Bremen,569352.0,http://www.wikidata.org/entity/Q496300,Andreas Bovenschulte,male,1965-08-11,55.0,2019-08-01,1,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3185,Hildesheim,8.808888888,53.076944444,9.95,52.15,128892.03539354085
Germany,http://www.wikidata.org/entity/Q16000,Winsen,34896.0,http://www.wikidata.org/entity/Q523386,André Wiese,male,1975-05-03,45.0,2011-01-01,9,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q16000,Winsen,10.216666666,53.366666666,10.216666666,53.366666666,0.0
Germany,http://www.wikidata.org/entity/Q2814,Halle (Saale),239257.0,http://www.wikidata.org/entity/Q824404,Bernd Wiegand,male,1957-02-23,63.0,2012-12-01,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2773,Brunswick,11.969722222,51.482777777,10.521111111,52.269166666,132691.82674641427
Germany,http://www.wikidata.org/entity/Q1720,Mainz,217118.0,http://www.wikidata.org/entity/Q73788,Michael Ebling,male,1967-01-27,53.0,2012-04-18,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1720,Mainz,8.266666666,50.0,8.266666666,50.0,0.0
Germany,http://www.wikidata.org/entity/Q7059,Bruchsal,44644.0,http://www.wikidata.org/entity/Q1133394,Cornelia Petzold-Schick,female,1964-05-30,56.0,2009-01-01,11,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3046,Pforzheim,8.6,49.133333333,8.705,48.895,27595.524837846453
Germany,http://www.wikidata.org/entity/Q3806,Tübingen,90546.0,http://www.wikidata.org/entity/Q107726,Boris Palmer,male,1972-05-28,48.0,2007-01-01,13,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4140,Waiblingen,9.055555555,48.52,9.316944444,48.830277777,39510.695211649356
Germany,http://www.wikidata.org/entity/Q64,Berlin,3644826.0,http://www.wikidata.org/entity/Q102844,Michael Müller,male,1964-12-09,56.0,2014-12-11,6,http://www.wikidata.org/entity/Q2415901,Allied-occupied Germany,http://www.wikidata.org/entity/Q56036,West Berlin,13.383333333,52.516666666,13.16666667,52.53333333,14822.018890745941
